z6-07509,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/25/24 23:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8159,102.19,10.3
1/25/24 23:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8156,102.18,10.3
1/25/24 23:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8158,102.18,10.3
1/26/24 0:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8156,102.19,10.1
1/26/24 0:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8156,102.19,9.9
1/26/24 0:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8156,102.19,9.6
1/26/24 0:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8155,102.21,9.3
1/26/24 0:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8143,102.21,9.0
1/26/24 0:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8148,102.22,9.0
1/26/24 1:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8149,102.22,8.7
1/26/24 1:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8042,102.22,8.5
1/26/24 1:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8127,102.24,8.5
1/26/24 1:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8131,102.22,8.5
1/26/24 1:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8131,102.20,8.6
1/26/24 1:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8131,102.22,8.5
1/26/24 2:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8134,102.23,8.3
1/26/24 2:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8134,102.21,8.3
1/26/24 2:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8127,102.19,8.2
1/26/24 2:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8129,102.16,8.0
1/26/24 2:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8127,102.14,7.9
1/26/24 2:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8128,102.15,7.7
1/26/24 3:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8128,102.15,7.7
1/26/24 3:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8127,102.16,7.9
1/26/24 3:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8115,102.16,7.8
1/26/24 3:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8123,102.17,7.9
1/26/24 3:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8124,102.18,7.9
1/26/24 3:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8124,102.19,8.0
1/26/24 4:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8124,102.17,8.1
1/26/24 4:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8126,102.15,8.2
1/26/24 4:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8124,102.14,8.2
1/26/24 4:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8127,102.12,8.0
1/26/24 4:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8118,102.12,7.9
1/26/24 4:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8121,102.12,7.9
1/26/24 5:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8123,102.16,7.9
1/26/24 5:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8102,102.19,8.1
1/26/24 5:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8113,102.20,8.4
1/26/24 5:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8115,102.20,8.7
1/26/24 5:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8117,102.20,8.8
1/26/24 5:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8120,102.20,8.9
1/26/24 6:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8118,102.20,9.1
1/26/24 6:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8118,102.19,9.1
1/26/24 6:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8118,102.18,9.2
1/26/24 6:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8110,102.18,9.2
1/26/24 6:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8112,102.19,9.0
1/26/24 6:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8114,102.21,8.9
