z6-07590,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/21/23 0:10,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,87,7691,100.31,20.4
12/21/23 0:20,#N/A,#N/A,-0.064,-0.063,-0.056,-0.027,87,7694,100.30,20.4
12/21/23 0:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,87,7694,100.30,20.4
12/21/23 0:40,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,77,7608,100.29,20.4
12/21/23 0:50,#N/A,#N/A,-0.064,-0.063,-0.056,-0.027,81,7645,100.28,20.4
12/21/23 1:00,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,83,7658,100.28,20.4
12/21/23 1:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,7305,100.27,20.5
12/21/23 1:20,#N/A,#N/A,-0.065,-0.064,-0.058,-0.029,39,7294,100.29,20.7
12/21/23 1:30,#N/A,#N/A,-0.065,-0.063,-0.058,-0.029,45,7342,100.30,20.5
12/21/23 1:40,#N/A,#N/A,-0.064,-0.063,-0.056,-0.028,41,7311,100.32,20.5
12/21/23 1:50,#N/A,#N/A,-0.064,-0.063,-0.057,-0.028,45,7342,100.33,20.5
12/21/23 2:00,#N/A,#N/A,-0.064,-0.063,-0.057,-0.028,47,7363,100.32,20.5
12/21/23 2:10,#N/A,#N/A,-0.064,-0.063,-0.057,-0.028,50,7380,100.31,20.5
12/21/23 2:20,#N/A,#N/A,-0.064,-0.062,-0.057,-0.028,46,7347,100.31,20.5
12/21/23 2:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,48,7367,100.32,20.5
12/21/23 2:40,#N/A,#N/A,-0.064,-0.063,-0.056,-0.027,50,7381,100.34,20.4
12/21/23 2:50,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,51,7392,100.35,20.4
12/21/23 3:00,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,52,7403,100.37,20.4
12/21/23 3:10,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,46,7353,100.38,20.4
12/21/23 3:20,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,49,7375,100.38,20.4
12/21/23 3:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,50,7384,100.39,20.4
12/21/23 3:40,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,51,7394,100.40,20.4
12/21/23 3:50,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,52,7400,100.41,20.4
12/21/23 4:00,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,53,7412,100.42,20.4
12/21/23 4:10,#N/A,#N/A,-0.064,-0.062,-0.056,-0.028,54,7418,100.41,20.4
12/21/23 4:20,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,55,7423,100.41,20.4
12/21/23 4:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,44,7330,100.42,20.4
12/21/23 4:40,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,45,7346,100.42,20.4
12/21/23 4:50,#N/A,#N/A,-0.064,-0.063,-0.056,-0.027,47,7358,100.40,20.4
12/21/23 5:00,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,48,7367,100.39,20.4
12/21/23 5:10,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,49,7375,100.38,20.4
12/21/23 5:20,#N/A,#N/A,-0.063,-0.062,-0.056,-0.027,14,7082,100.38,20.4
12/21/23 5:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,26,7186,100.38,20.5
12/21/23 5:40,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,29,7210,100.39,20.4
12/21/23 5:50,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,31,7225,100.39,20.4
12/21/23 6:00,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,32,7236,100.38,20.4
12/21/23 6:10,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,34,7246,100.40,20.4
12/21/23 6:20,#N/A,#N/A,-0.064,-0.062,-0.056,-0.027,35,7255,100.43,20.4
12/21/23 6:30,#N/A,#N/A,-0.063,-0.062,-0.055,-0.027,36,7264,100.44,20.4
12/22/23 1:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.065,0,5906,100.53,20.6
12/23/23 12:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6691,100.75,20.2
12/23/23 12:20,#N/A,#N/A,-0.069,-0.065,-0.059,-0.031,0,6625,100.91,19.6
12/23/23 12:30,#N/A,#N/A,-0.064,-0.062,-0.056,-0.028,0,6545,100.92,19.6
12/23/23 12:40,#N/A,#N/A,-0.064,-0.062,-0.055,-0.027,0,6429,100.93,19.7
12/23/23 12:50,#N/A,#N/A,-0.064,-0.062,-0.055,-0.027,0,6305,100.92,19.7
12/23/23 14:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6743,100.81,20.1
12/23/23 14:20,#N/A,#N/A,-0.073,-0.069,-0.063,-0.037,0,6714,100.80,20.1
12/23/23 14:30,#N/A,#N/A,-0.068,-0.065,-0.060,-0.032,0,6695,100.80,20.2
12/23/23 14:40,#N/A,#N/A,-0.067,-0.065,-0.059,-0.031,0,6676,100.79,20.2
12/23/23 14:50,#N/A,#N/A,-0.067,-0.065,-0.059,-0.032,0,6659,100.80,20.3
12/23/23 15:00,#N/A,#N/A,-0.067,-0.065,-0.059,-0.031,0,6641,100.80,20.3
12/23/23 15:10,#N/A,#N/A,-0.067,-0.065,-0.059,-0.032,0,6618,100.80,20.4
12/23/23 15:20,#N/A,#N/A,-0.067,-0.065,-0.059,-0.032,0,6587,100.79,20.4
12/23/23 15:30,#N/A,#N/A,-0.068,-0.065,-0.059,-0.031,0,6543,100.79,20.4
12/23/23 15:40,#N/A,#N/A,-0.068,-0.065,-0.059,-0.032,0,6462,100.80,20.5
12/23/23 15:50,#N/A,#N/A,-0.068,-0.066,-0.059,-0.032,0,6364,100.80,20.5
12/23/23 16:00,#N/A,#N/A,-0.068,-0.065,-0.059,-0.032,0,6265,100.79,20.5
12/23/23 16:40,#N/A,#N/A,#N/A,#N/A,#N/A,-0.070,0,6699,100.80,20.5
12/23/23 16:50,#N/A,#N/A,-0.072,-0.069,-0.063,-0.035,0,6664,100.81,20.6
12/23/23 17:00,#N/A,#N/A,-0.069,-0.067,-0.061,-0.033,0,6632,100.82,20.6
12/23/23 17:10,#N/A,#N/A,-0.068,-0.066,-0.060,-0.033,0,6594,100.81,20.6
12/23/23 17:20,#N/A,#N/A,-0.068,-0.066,-0.059,-0.032,0,6534,100.82,20.6
12/23/23 17:30,#N/A,#N/A,-0.068,-0.066,-0.059,-0.032,0,6431,100.84,20.6
12/23/23 17:40,#N/A,#N/A,-0.068,-0.065,-0.059,-0.032,0,6274,100.86,20.6
12/23/23 18:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6746,100.92,20.5
12/23/23 18:30,#N/A,#N/A,#N/A,#N/A,#N/A,-0.051,0,6692,100.93,20.5
12/23/23 18:40,#N/A,#N/A,-0.070,-0.067,-0.061,-0.033,0,6660,100.93,20.5
12/23/23 18:50,#N/A,#N/A,-0.068,-0.065,-0.059,-0.031,0,6622,100.94,20.5
12/23/23 19:00,#N/A,#N/A,-0.067,-0.065,-0.058,-0.031,0,6568,100.95,20.5
12/23/23 19:10,#N/A,#N/A,-0.067,-0.065,-0.058,-0.030,0,6477,100.95,20.4
12/23/23 19:20,#N/A,#N/A,-0.066,-0.064,-0.057,-0.030,0,6313,100.95,20.4
12/23/23 19:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6682,100.95,20.4
12/23/23 19:40,#N/A,#N/A,#N/A,-0.071,-0.064,-0.039,0,6559,100.94,20.4
12/23/23 19:50,#N/A,#N/A,-0.067,-0.064,-0.058,-0.030,0,6356,100.95,20.3
12/23/23 20:40,#N/A,#N/A,#N/A,#N/A,#N/A,-0.062,0,6686,100.99,20.2
12/23/23 20:50,#N/A,#N/A,-0.068,-0.065,-0.059,-0.030,0,6641,100.99,20.1
12/23/23 21:00,#N/A,#N/A,-0.065,-0.064,-0.056,-0.028,0,6588,100.98,20.1
12/23/23 21:10,#N/A,#N/A,-0.065,-0.063,-0.055,-0.028,0,6481,100.97,20.1
